Year,GDP,K,L
2000,52888,106423.3951,1900940
2001,54907,110773.1254,1899874
2002,58175,115692.1581,1927690
2003,61173,121709.3772,2079932
2004,65113,129052.7803,2152301
2005,69771,139619.0353,2177226
2006,74517,151861.0056,2267727
2007,79403,166000.5843,2380257
2008,84235,184207.0321,2466852
2009,81351,196818.6915,2404633
2010,81815,204950.1659,2242607
2011,83739,211883.7736,2242488
2012,84040,218783.5199,2218718
2013,84308,225433.5089,2226403
2014,85906,232362.8055,2240544
2015,89333,239429.0582,2254768
2016,92738,244903.9373,2277345
2017,95990,250668.7144,2308129
2018,98950,257118.4997,2319762
